"route_id","path","page_file","primary_navigation_link","role","link_visible","direct_page_gate","data_read","actions"
"RT-ROOT-001","/","src/pages/index.astro","No primary-nav item; contextual links/direct route","Employee","Visible to ACTIVE account","Public","Public/auth surface only; no protected operational data is granted by this route.","Authentication/recovery actions through auth use cases."
"RT-ROOT-001","/","src/pages/index.astro","No primary-nav item; contextual links/direct route","Supervisor","Visible to ACTIVE account","Public","Public/auth surface only; no protected operational data is granted by this route.","Authentication/recovery actions through auth use cases."
"RT-ROOT-001","/","src/pages/index.astro","No primary-nav item; contextual links/direct route","Manager","Visible to ACTIVE account","Public","Public/auth surface only; no protected operational data is granted by this route.","Authentication/recovery actions through auth use cases."
"RT-ROOT-001","/","src/pages/index.astro","No primary-nav item; contextual links/direct route","Admin","Visible to ACTIVE account","Public","Public/auth surface only; no protected operational data is granted by this route.","Authentication/recovery actions through auth use cases."
"RT-ROOT-001","/","src/pages/index.astro","No primary-nav item; contextual links/direct route","yazeed","Visible to ACTIVE account","Public","Public/auth surface only; no protected operational data is granted by this route.","Authentication/recovery actions through auth use cases."
"RT-AUTH-001","/login","src/pages/login.astro","No primary-nav item; contextual links/direct route","Employee","Visible to ACTIVE account","Public","Public/auth surface only; no protected operational data is granted by this route.","Authentication/recovery actions through auth use cases."
"RT-AUTH-001","/login","src/pages/login.astro","No primary-nav item; contextual links/direct route","Supervisor","Visible to ACTIVE account","Public","Public/auth surface only; no protected operational data is granted by this route.","Authentication/recovery actions through auth use cases."
"RT-AUTH-001","/login","src/pages/login.astro","No primary-nav item; contextual links/direct route","Manager","Visible to ACTIVE account","Public","Public/auth surface only; no protected operational data is granted by this route.","Authentication/recovery actions through auth use cases."
"RT-AUTH-001","/login","src/pages/login.astro","No primary-nav item; contextual links/direct route","Admin","Visible to ACTIVE account","Public","Public/auth surface only; no protected operational data is granted by this route.","Authentication/recovery actions through auth use cases."
"RT-AUTH-001","/login","src/pages/login.astro","No primary-nav item; contextual links/direct route","yazeed","Visible to ACTIVE account","Public","Public/auth surface only; no protected operational data is granted by this route.","Authentication/recovery actions through auth use cases."
"RT-AUTH-002","/auth/recovery","src/pages/auth/recovery.astro","No primary-nav item; contextual links/direct route","Employee","Visible to ACTIVE account","Allowed by page gate for ACTIVE authenticated account","AVD-004 declares ordinary operational read access for ACTIVE accounts; route gate alone does not prove the read model’s runtime outcome.","No action implied by link/page. Owning use case enforces permission, scope, state, SoD, version, signature, and business rules."
"RT-AUTH-002","/auth/recovery","src/pages/auth/recovery.astro","No primary-nav item; contextual links/direct route","Supervisor","Visible to ACTIVE account","Allowed by page gate for ACTIVE authenticated account","AVD-004 declares ordinary operational read access for ACTIVE accounts; route gate alone does not prove the read model’s runtime outcome.","No action implied by link/page. Owning use case enforces permission, scope, state, SoD, version, signature, and business rules."
