scenario_id,tier,domain,applicable_roles,route_or_area,positive_negative,status,evidence_ref,defect_ids
T-UAT-01,1,auth+tasks,"QC Employee;QC Inspector;Laboratory User;Supervisor;Manager;Administrator;Auditor",/login + /tasks,positive,NOT EXECUTED,,
T-UAT-02,1,tasks,"QC Employee;QC Inspector;Laboratory User",/tasks + /tasks/[taskId],positive,NOT EXECUTED,,
T-UAT-03,1,quarantine-receiving,QC Inspector,/quarantine/receiving + /quarantine/inspections/[inspectionId]/execute,positive,NOT EXECUTED,,
T-UAT-04,1,quarantine-hold,"QC Inspector;Supervisor",/quarantine + /tasks,positive,NOT EXECUTED,,
T-UAT-05,1,quarantine-release,"QC Inspector;Supervisor;Manager",/quarantine/inspections/[inspectionId]/review,positive,NOT EXECUTED,,
T-UAT-06,1,laboratory,Laboratory User,/laboratory/tests/[labTestId]/execute,positive,NOT EXECUTED,,
T-UAT-07,2,quality-findings,"QC Inspector;Supervisor",/quality/findings,positive,NOT EXECUTED,,
T-UAT-08,2,quality-ncr,"Supervisor;Manager",/quality/ncr,positive,NOT EXECUTED,,
T-UAT-09,2,quality-capa,"Supervisor;Manager",/quality/capa,positive,NOT EXECUTED,,
T-UAT-10,1,approvals,"Supervisor;Manager",/approvals + /approvals/[approvalId],positive,NOT EXECUTED,,
T-UAT-11,1,controlled-documents,"QC Employee;QC Inspector;Laboratory User;Supervisor;Manager;Administrator;Auditor",/documents,positive,NOT EXECUTED,,
T-UAT-12,2,equipment-calibration,"Laboratory User;Administrator",/assets/equipment + /assets/calibrations,positive,NOT EXECUTED,,
T-UAT-13,2,reports-exports,"Supervisor;Manager;Auditor",/reports,positive,NOT EXECUTED,,
T-UAT-14,1,audit,"Auditor;Manager",/audit,positive,NOT EXECUTED,,
N-UAT-01,1,authorization-negative,"QC Employee;Administrator",direct action/API invocation,negative,NOT EXECUTED,,
N-UAT-02,1,scope-negative,"QC Employee;QC Inspector",cross-scope record + direct URL,negative,NOT EXECUTED,,
N-UAT-03,1,state-negative,"QC Inspector;Supervisor",wrong-state mutation,negative,NOT EXECUTED,,
N-UAT-04,1,direct-url-negative,"QC Employee;Auditor",protected route without grant,negative,NOT EXECUTED,,
N-UAT-05,1,pass-not-released,"QC Inspector;Supervisor;Manager",unauthorized release attempt,negative,NOT EXECUTED,,
N-UAT-06,1,stale-version,"Supervisor;Manager",stale approval decision,negative,NOT EXECUTED,,
A-UAT-01,2,accessibility-keyboard,"QC Employee;QC Inspector;Supervisor",critical path keyboard-only,positive,NOT EXECUTED,,
A-UAT-02,2,accessibility-rtl,"QC Employee;QC Inspector;Supervisor",Arabic RTL representative pages,positive,NOT EXECUTED,,
A-UAT-03,2,accessibility-zoom,"QC Inspector;Laboratory User",200%/400% reflow lab + inspection,positive,NOT EXECUTED,,
A-UAT-04,2,accessibility-motion,"QC Employee;Auditor",reduced-motion behavior,positive,NOT EXECUTED,,
