"route_id","path","primary_navigation_link","what_employee_needs_now","next_action","on_demand_details","copy_inventory_source"
"RT-ROOT-001","/","No primary-nav item; use contextual link/direct route","Root","Authenticate to enter the workspace","Open sign-in","Recovery guidance when needed","Root/auth copy inventory; UX writing guide"
"RT-AUTH-001","/login","No primary-nav item; use contextual link/direct route","Auth","Sign in or complete the requested account recovery step","Submit the sign-in or recovery form","Validation, throttling, and safe return details","Auth copy inventory; uxVocabulary.errorClasses"
"RT-AUTH-002","/auth/recovery","No primary-nav item; use contextual link/direct route","Auth","Sign in or complete the requested account recovery step","Submit the sign-in or recovery form","Validation, throttling, and safe return details","Auth copy inventory; uxVocabulary.errorClasses"
"RT-AUTH-003","/auth/reset/[requestId]","No primary-nav item; use contextual link/direct route","Auth","Sign in or complete the requested account recovery step","Submit the sign-in or recovery form","Validation, throttling, and safe return details","Auth copy inventory; uxVocabulary.errorClasses"
"RT-DASH-001","/dashboard","Overview / Dashboard","Dashboard","Immediate assigned work and source-backed operational status","Open the matching register or record","Metric definition, source, scope, and freshness","Dashboard copy inventory; uxVocabulary.states and boundaries"
"RT-WORK-001","/work","Work / My work today","Work","Assigned, due, overdue, and held work with its recorded reason","Open the linked record and follow its permitted next action","Source and responsible-role details","Work copy inventory; uxVocabulary.lifecycle"
"RT-TASK-001","/tasks","Work / Tasks","Tasks","Task identity, state, owner, and due context","Search/filter, open the task, or use a permitted task action","Assignment and due-date details","Tasks copy inventory; uxVocabulary.states/actions/errors"
"RT-TASK-002","/tasks/new","No primary-nav item; use contextual link/direct route","Tasks","Task identity, state, owner, and due context","Search/filter, open the task, or use a permitted task action","Assignment and due-date details","Tasks copy inventory; uxVocabulary.states/actions/errors"
"RT-TASK-003","/tasks/[taskId]","No primary-nav item; use contextual link/direct route","Tasks","Task identity, state, owner, and due context","Search/filter, open the task, or use a permitted task action","Assignment and due-date details","Tasks copy inventory; uxVocabulary.states/actions/errors"
"RT-QUAL-001","/quality","No primary-nav item; use contextual link/direct route","Quality overview","Choose the relevant quality record family","Open the relevant register","Domain description","Quality overview copy inventory"
"RT-FIND-001","/quality/findings","Quality / Findings","Findings","Finding state, severity, and owner","Open the finding or create one when permitted","History and evidence","Findings copy inventory; uxVocabulary.states/errors"
"RT-FIND-002","/quality/findings/new","No primary-nav item; use contextual link/direct route","Findings","Finding state, severity, and owner","Open the finding or create one when permitted","History and evidence","Findings copy inventory; uxVocabulary.states/errors"
"RT-FIND-003","/quality/findings/[findingId]","No primary-nav item; use contextual link/direct route","Findings","Finding state, severity, and owner","Open the finding or create one when permitted","History and evidence","Findings copy inventory; uxVocabulary.states/errors"
"RT-NCR-001","/quality/ncr","Quality / NCR","NCR / RCA / CAPA","Current quality record state and outstanding action","Open the record; use only the permitted next action","Investigation, corrective-action, effectiveness, and audit evidence","NCR/RCA/CAPA copy inventory; uxVocabulary lifecycle/errors"
"RT-NCR-002","/quality/ncr/new","No primary-nav item; use contextual link/direct route","NCR / RCA / CAPA","Current quality record state and outstanding action","Open the record; use only the permitted next action","Investigation, corrective-action, effectiveness, and audit evidence","NCR/RCA/CAPA copy inventory; uxVocabulary lifecycle/errors"
"RT-NCR-003","/quality/ncr/[ncrId]","No primary-nav item; use contextual link/direct route","NCR / RCA / CAPA","Current quality record state and outstanding action","Open the record; use only the permitted next action","Investigation, corrective-action, effectiveness, and audit evidence","NCR/RCA/CAPA copy inventory; uxVocabulary lifecycle/errors"
"RT-RCA-001","/quality/rca","Quality / RCA","NCR / RCA / CAPA","Current quality record state and outstanding action","Open the record; use only the permitted next action","Investigation, corrective-action, effectiveness, and audit evidence","NCR/RCA/CAPA copy inventory; uxVocabulary lifecycle/errors"
"RT-RCA-002","/quality/rca/[rcaId]","No primary-nav item; use contextual link/direct route","NCR / RCA / CAPA","Current quality record state and outstanding action","Open the record; use only the permitted next action","Investigation, corrective-action, effectiveness, and audit evidence","NCR/RCA/CAPA copy inventory; uxVocabulary lifecycle/errors"
"RT-CAPA-001","/quality/capa","Quality / CAPA","NCR / RCA / CAPA","Current quality record state and outstanding action","Open the record; use only the permitted next action","Investigation, corrective-action, effectiveness, and audit evidence","NCR/RCA/CAPA copy inventory; uxVocabulary lifecycle/errors"
"RT-CAPA-002","/quality/capa/new","No primary-nav item; use contextual link/direct route","NCR / RCA / CAPA","Current quality record state and outstanding action","Open the record; use only the permitted next action","Investigation, corrective-action, effectiveness, and audit evidence","NCR/RCA/CAPA copy inventory; uxVocabulary lifecycle/errors"
"RT-CAPA-003","/quality/capa/[capaId]","No primary-nav item; use contextual link/direct route","NCR / RCA / CAPA","Current quality record state and outstanding action","Open the record; use only the permitted next action","Investigation, corrective-action, effectiveness, and audit evidence","NCR/RCA/CAPA copy inventory; uxVocabulary lifecycle/errors"
"RT-QUAR-001","/quarantine","Quarantine / Quarantine dashboard","Quarantine overview","Where receiving items sit in the quarantine flow","Open the stage-filtered receiving register","Stage definitions and PASS versus RELEASED","Quarantine copy inventory; uxVocabulary boundaries/states"
"RT-REC-001","/quarantine/receiving","Quarantine / Receiving items","Receiving","Receiving number, inspection result, and separate release state","Search/filter and open the receiving record","Transition history and source evidence","Receiving copy inventory; uxVocabulary lifecycle/boundaries/errors"
"RT-REC-002","/quarantine/receiving/new","No primary-nav item; use contextual link/direct route","Receiving","Receiving number, inspection result, and separate release state","Search/filter and open the receiving record","Transition history and source evidence","Receiving copy inventory; uxVocabulary lifecycle/boundaries/errors"
"RT-REC-003","/quarantine/receiving/[receivingId]","No primary-nav item; use contextual link/direct route","Receiving","Receiving number, inspection result, and separate release state","Search/filter and open the receiving record","Transition history and source evidence","Receiving copy inventory; uxVocabulary lifecycle/boundaries/errors"
"RT-INSP-001","/quarantine/inspections","Quarantine / Inspection reports","Inspections","Inspection identity, assigned stage, and submitted evidence","Open execution or review; act only when authorized","Template snapshot, history, and signature context","Inspections copy inventory; uxVocabulary lifecycle/errors"
"RT-INSP-002","/quarantine/inspections/[inspectionId]","No primary-nav item; use contextual link/direct route","Inspections","Inspection identity, assigned stage, and submitted evidence","Open execution or review; act only when authorized","Template snapshot, history, and signature context","Inspections copy inventory; uxVocabulary lifecycle/errors"
"RT-INSP-003","/quarantine/inspections/[inspectionId]/execute","No primary-nav item; use contextual link/direct route","Inspections","Inspection identity, assigned stage, and submitted evidence","Open execution or review; act only when authorized","Template snapshot, history, and signature context","Inspections copy inventory; uxVocabulary lifecycle/errors"
"RT-INSP-004","/quarantine/inspections/[inspectionId]/review","No primary-nav item; use contextual link/direct route","Inspections","Inspection identity, assigned stage, and submitted evidence","Open execution or review; act only when authorized","Template snapshot, history, and signature context","Inspections copy inventory; uxVocabulary lifecycle/errors"
"RT-QUAR-002","/quarantine/admin","Quarantine / Quarantine administration","Templates","Controlled template identity, version, and state","Open a template; lifecycle action requires separate authority","Version and approved template context","Templates copy inventory; uxVocabulary states/errors"
"RT-LAB-001","/laboratory","No primary-nav item; use contextual link/direct route","Laboratory tests","Test/sample identity, workflow state, and recorded result","Filter/open the test; save or submit only when permitted","Method/version, approved source, measurements, and history","Tests copy inventory; uxVocabulary lifecycle/boundaries/errors"
"RT-LAB-002","/laboratory/tests","Laboratory / Laboratory tests","Laboratory tests","Test/sample identity, workflow state, and recorded result","Filter/open the test; save or submit only when permitted","Method/version, approved source, measurements, and history","Tests copy inventory; uxVocabulary lifecycle/boundaries/errors"
"RT-LAB-003","/laboratory/tests/new","No primary-nav item; use contextual link/direct route","Laboratory tests","Test/sample identity, workflow state, and recorded result","Filter/open the test; save or submit only when permitted","Method/version, approved source, measurements, and history","Tests copy inventory; uxVocabulary lifecycle/boundaries/errors"
"RT-LAB-004","/laboratory/tests/[labTestId]","No primary-nav item; use contextual link/direct route","Laboratory tests","Test/sample identity, workflow state, and recorded result","Filter/open the test; save or submit only when permitted","Method/version, approved source, measurements, and history","Tests copy inventory; uxVocabulary lifecycle/boundaries/errors"
"RT-LAB-005","/laboratory/tests/[labTestId]/execute","No primary-nav item; use contextual link/direct route","Laboratory tests","Test/sample identity, workflow state, and recorded result","Filter/open the test; save or submit only when permitted","Method/version, approved source, measurements, and history","Tests copy inventory; uxVocabulary lifecycle/boundaries/errors"
"RT-LAB-006","/laboratory/tests/[labTestId]/review","No primary-nav item; use contextual link/direct route","Laboratory tests","Test/sample identity, workflow state, and recorded result","Filter/open the test; save or submit only when permitted","Method/version, approved source, measurements, and history","Tests copy inventory; uxVocabulary lifecycle/boundaries/errors"
"RT-LAB-007","/laboratory/tests/[labTestId]/retests/new","No primary-nav item; use contextual link/direct route","Laboratory tests","Test/sample identity, workflow state, and recorded result","Filter/open the test; save or submit only when permitted","Method/version, approved source, measurements, and history","Tests copy inventory; uxVocabulary lifecycle/boundaries/errors"
"RT-ASSET-001","/assets","No primary-nav item; use contextual link/direct route","Assets","Choose equipment, calibration, or maintenance","Open the relevant register","Domain details","Assets copy inventory"
"RT-EQUIP-001","/assets/equipment","Assets / Equipment","Equipment","Equipment status and current calibration eligibility","Open equipment or use a permitted maintenance/calibration action","Certificate, calibration, maintenance, and status history","Equipment copy inventory; uxVocabulary states/errors"
"RT-EQUIP-002","/assets/equipment/new","No primary-nav item; use contextual link/direct route","Equipment","Equipment status and current calibration eligibility","Open equipment or use a permitted maintenance/calibration action","Certificate, calibration, maintenance, and status history","Equipment copy inventory; uxVocabulary states/errors"
"RT-EQUIP-003","/assets/equipment/[equipmentId]","No primary-nav item; use contextual link/direct route","Equipment","Equipment status and current calibration eligibility","Open equipment or use a permitted maintenance/calibration action","Certificate, calibration, maintenance, and status history","Equipment copy inventory; uxVocabulary states/errors"
"RT-CAL-001","/assets/calibrations","Assets / Calibration records","Calibrations","Calibration identity, status, and due state","Open the calibration or create one when permitted","Certificate and equipment/source context","Calibrations copy inventory; uxVocabulary states/errors"
"RT-CAL-002","/assets/calibrations/new","No primary-nav item; use contextual link/direct route","Calibrations","Calibration identity, status, and due state","Open the calibration or create one when permitted","Certificate and equipment/source context","Calibrations copy inventory; uxVocabulary states/errors"
"RT-CAL-003","/assets/calibrations/[calibrationId]","No primary-nav item; use contextual link/direct route","Calibrations","Calibration identity, status, and due state","Open the calibration or create one when permitted","Certificate and equipment/source context","Calibrations copy inventory; uxVocabulary states/errors"
"RT-MAINT-001","/assets/maintenance","Assets / Maintenance","Maintenance","Maintenance state and equipment availability","Open the record or use a permitted transition","Lock, calibration, and audit history","Maintenance copy inventory; uxVocabulary states/errors"
"RT-MAINT-002","/assets/maintenance/new","No primary-nav item; use contextual link/direct route","Maintenance","Maintenance state and equipment availability","Open the record or use a permitted transition","Lock, calibration, and audit history","Maintenance copy inventory; uxVocabulary states/errors"
"RT-MAINT-003","/assets/maintenance/[maintenanceId]","No primary-nav item; use contextual link/direct route","Maintenance","Maintenance state and equipment availability","Open the record or use a permitted transition","Lock, calibration, and audit history","Maintenance copy inventory; uxVocabulary states/errors"
"RT-DOC-001","/documents","System / Controlled documents","Controlled documents","Document identity, owner, and effective version","Search/open the document; review/edit only when permitted","Version history, captured snapshot, and approval trail","Documents copy inventory; uxVocabulary lifecycle/errors"
"RT-DOC-002","/documents/new","No primary-nav item; use contextual link/direct route","Controlled documents","Document identity, owner, and effective version","Search/open the document; review/edit only when permitted","Version history, captured snapshot, and approval trail","Documents copy inventory; uxVocabulary lifecycle/errors"
